longitude,latitude,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,month,time_period,casualties_per_vehicle,has_second_road,second_road_unknown,first_road_class_ordinal,second_road_class_ordinal
-0.13033,51.64784,1,1,7,7,30,13.0,4.0,1.0,1,1.0,1,6,Afternoon,1.0,1,0,2,1
-0.3182,52.53471,2,1,2,1,40,,2.0,1.0,1,1.0,2,2,Afternoon,0.5,1,0,1,4
-0.54434,53.23838,2,1,6,6,30,0.0,,1.0,1,1.0,1,7,Afternoon,0.5,0,0,2,0
-4.14712,50.37757,2,1,6,1,30,,4.0,1.0,1,2.0,1,11,Afternoon,0.5,1,0,4,4
-3.19003,51.44781,1,1,6,3,30,16.0,2.0,4.0,1,1.0,1,8,Evening,1.0,1,0,4,4
-4.13299,50.37235,1,1,2,6,30,13.0,4.0,1.0,1,1.0,1,6,Afternoon,1.0,1,0,1,1
0.10524,51.76622,2,2,4,1,40,,4.0,4.0,1,1.0,2,11,Evening,1.0,1,0,4,1
-2.59898,52.31651,2,1,2,6,40,19.0,4.0,1.0,1,1.0,2,7,Morning,0.5,1,0,3,1
-0.08626,51.60504,1,1,2,3,30,13.0,2.0,1.0,1,1.0,1,11,Afternoon,1.0,1,0,4,1
-4.1345,50.38364,2,1,6,3,30,0.0,,1.0,1,1.0,1,6,Afternoon,0.5,1,0,3,1
-3.05587,50.98088,2,1,6,6,60,0.0,,1.0,1,1.0,2,8,Evening,0.5,0,0,1,0
-0.00487,51.48224,1,1,6,6,20,0.0,,1.0,1,1.0,1,11,Morning,1.0,0,0,4,0
-2.0033,52.5023,2,1,5,3,30,13.0,4.0,4.0,1,2.0,1,11,Evening,0.5,1,0,4,1
-0.45311,51.9035,1,1,2,6,20,16.0,2.0,1.0,1,1.0,1,8,Afternoon,1.0,1,0,1,1
-0.05665,51.51971,2,1,3,6,20,16.0,2.0,1.0,2,2.0,1,3,Afternoon,0.5,1,0,4,4
-2.09725,51.66662,3,1,3,6,60,0.0,,1.0,1,1.0,2,8,Evening,0.3333333333333333,1,0,4,1
